track_id,track_name,creator_name
1,"YOASOBI "Racing into the Night"  Official Music Video", "Ayase-YOASOBI"
2,"Imagine Dragons - Radioactive (Lyric Video)", "ImagineDragons"
3,"Ayase「SHOCK!」Official Music Video", "Ayase-YOASOBI"
4,"Imagine Dragons - Wrecked (Official Music Video)", "ImagineDragons"
5,"Good-bye days ／YUI （Cover）", "Goosehouse"
6,"Imagine Dragons - Thunder", "ImagineDragons"
7,"光るなら／Goose house", "Goosehouse"
8,"Sing／Goose house", "Goosehouse"
9,"YOASOBI「祝福」Official Music Video (『機動戦士ガンダム 水星の魔女』オープニングテーマ)", "Ayase-YOASOBI"
10,"YOASOBI「ハルジオン・Halzion」Official Music Video", "Ayase-YOASOBI"
11,"夜撫でるメノウ・Agate Caressing the Night ／ Ayase (self cover)", "Ayase-YOASOBI"
12,"Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends)", "ImagineDragons"
13,"YOASOBI「もしも命が描けたら」Official Music Video", "Ayase-YOASOBI"
14,"Imagine Dragons - Demons (Official Music Video)", "ImagineDragons"
15,"高嶺の花子さん／back number （Cover）", "Goosehouse"
16,"Imagine Dragons - Radioactive", "ImagineDragons"
17,"Imagine Dragons - Natural (Lyrics)", "ImagineDragons"
18,"明日があるさ／坂本九（Cover）", "Goosehouse"
19,"Imagine Dragons - Natural", "ImagineDragons"
20,"Imagine Dragons - Whatever It Takes (Official Music Video)", "ImagineDragons"
21,"YOASOBI「あの夢をなぞって・Tracing that Dream」 Official Music Video", "Ayase-YOASOBI"
22,"Ayase「飽和」Official Music Video", "Ayase-YOASOBI"
23,"オトノナルホウへ→／Goose house", "Goosehouse"
24,"YOASOBI／群青（Cover）", "Goosehouse"
25,"恋するフォーチュンクッキー／AKB48（Cover）", "Goosehouse"
26,"YOASOBI「ラブレター」Official Music Video", "Ayase-YOASOBI"
27,"幽霊東京 Ghost City Tokyo ／Ayase (self cover)", "Ayase-YOASOBI"
28,"YOASOBI「群青」Official Music Video", "Ayase-YOASOBI"
29,"YOASOBI "Probably" Official Music Video", "Ayase-YOASOBI"
30,"Imagine Dragons - Believer (Official Music Video)", "ImagineDragons"
31,"YOASOBI「アイドル」 Official Music Video", "Ayase-YOASOBI"
32,"YOASOBI「怪物」Official Music Video　(YOASOBI - Monster)", "Ayase-YOASOBI"
33,"Imagine Dragons - Bones (Official Music Video)", "ImagineDragons"
34,"YOASOBI 3rd EP『THE BOOK 3』全曲トレーラー", "Ayase-YOASOBI"
